,Company,Model,Location,Year,Kilometers_Driven,Power_bhp,Mileage_n,Fuel_Type,Transmission,Owner_Type,Seats,New_Price,Price,No_Year,Engine_CC
28,Honda,WRV,Kochi,2018,37430,88.7,17.5,Petrol,Manual,First,5,10.57 Lakh,9.9,2,1199
29,Toyota,Innova,Mumbai,2007,262000,102,12.8,Diesel,Manual,Fourth & Above,7,,4,13,2494
30,Renault,Duster,Bangalore,2013,62000,108.45,19.01,Diesel,Manual,First,5,,7.75,7,1461
31,Toyota,Corolla,Delhi,2012,87615,138.1,14.53,Petrol,Manual,First,5,,6.75,8,1798
32,Mahindra,Ssangyong,Bangalore,2013,72000,184,11.18,Diesel,Automatic,Second,7,,12.5,7,2696
33,Audi,A6,Kolkata,2010,35000,179.5,12.4,Diesel,Automatic,First,5,,11.5,10,2698
34,Volkswagen,Vento,Coimbatore,2014,55431,103.5,16.09,Petrol,Manual,Second,5,12.33 Lakh,6.98,6,1598
35,Maruti,Wagon R,Jaipur,2009,83816,64,14,Petrol,Manual,Second,5,,1.85,11,1061
36,Maruti,Vitara,Kochi,2018,50075,88.5,24.3,Diesel,Manual,First,5,11.12 Lakh,8.63,2,1248
37,Mahindra,KUV,Delhi,2017,52000,82,18.15,Petrol,Manual,First,5,,4.85,3,1198
38,Mercedes-Benz,M-Class,Pune,2013,85000,254.8,11.74,Diesel,Automatic,First,5,,28,7,2987
39,Volkswagen,Polo,Chennai,2013,62000,73.9,22.07,Diesel,Manual,First,5,,5,7,1199
40,Maruti,Alto,Delhi,2008,90000,46.3,19.7,Petrol,Manual,Second,5,,1.25,12,796
41,Tata,Nano,Kochi,2014,19698,37.5,25.4,Petrol,Manual,First,4,,1.53,6,624
42,Mahindra,KUV,Coimbatore,2017,22033,77,25.32,Diesel,Manual,First,6,,5.58,3,1198
43,Hyundai,i20,Kochi,2014,35487,82.9,18.5,Petrol,Manual,First,5,,4.74,6,1197
44,Hyundai,Elantra,Bangalore,2014,46374,149.92,14.62,Petrol,Automatic,First,5,23.64 Lakh,8.85,6,1999
45,Toyota,Corolla,Mumbai,2016,52001,138.03,14.28,Petrol,Automatic,First,5,,10.11,4,1798
46,Hyundai,Elantra,Ahmedabad,2008,58005,112.2,14.9,Diesel,Manual,Second,5,,4.25,12,1991
47,Toyota,Innova,Bangalore,2012,70704,163.7,11.25,Petrol,Manual,First,7,18.64 Lakh,10.95,8,2694
48,Hyundai,Xcent,Jaipur,2014,75000,71,24.4,Diesel,Manual,First,5,,3.85,6,1120
49,Mahindra,Thar,Jaipur,2012,75800,105,16.55,Diesel,Manual,Second,6,,5.5,8,2498
50,Audi,A4,Kochi,2015,13648,174.33,17.11,Diesel,Automatic,First,5,,21.43,5,1968
51,Maruti,Swift,Delhi,2014,52000,74,22.9,Diesel,Manual,First,5,,4.25,6,1248
52,Maruti,Swift,Kolkata,2014,53000,75,17.8,Diesel,Manual,First,5,,3.3,6,1248
53,Maruti,Swift,Delhi,2013,65650,74,28.4,Diesel,Manual,First,5,,3.85,7,1248
54,Hyundai,Grand i10,Chennai,2015,54000,82,18.9,Petrol,Manual,Third,5,,3.6,5,1197
55,Volkswagen,Vento,Kolkata,2015,39000,103.2,15.04,Petrol,Manual,First,5,,3.99,5,1598
56,Renault,KWID,Kochi,2017,16542,53.3,25.17,Petrol,Manual,First,5,,3.3,3,799
57,Hyundai,i10,Kolkata,2010,32000,78.9,20.36,Petrol,Manual,First,5,,2.07,10,1197
58,Nissan,X-Trail,Hyderabad,2010,121812,147.6,13.29,Diesel,Automatic,First,5,,7.75,10,1995
59,Maruti,Zen,Hyderabad,2010,39300,67.1,18.2,Petrol,Manual,First,5,,2.25,10,998
60,Toyota,Innova,Mumbai,2017,22000,147.8,13.68,Diesel,Manual,First,8,19.34 Lakh,16.5,3,2393
61,Ford,Figo,Bangalore,2010,72000,68,20,Diesel,Manual,First,5,,2.75,10,1399
62,Mercedes-Benz,New C-Class,Delhi,2015,58000,186,11.74,Petrol,Automatic,First,5,,26.7,5,1796
63,Mercedes-Benz,New C-Class,Pune,2011,65000,170,15.8,Diesel,Manual,Second,5,,10,9,2148
64,Tata,Indica,Chennai,2016,178000,69,25,Diesel,Manual,First,5,,2.5,4,1396
65,Audi,A4,Jaipur,2012,65664,140,16.55,Diesel,Automatic,First,5,,13.5,8,1968
66,Honda,City,Mumbai,2007,63000,78,16.4,Petrol,Automatic,Second,5,,1.85,13,1497
67,Mercedes-Benz,C-Class,Coimbatore,2019,15369,194,0,Diesel,Automatic,First,5,49.14 Lakh,35.67,1,1950
68,Maruti,Ertiga,Pune,2016,63000,88.5,24.52,Diesel,Manual,First,7,,8.15,4,1248
69,Hyundai,Creta,Mumbai,2018,13000,88.7,22.1,Diesel,Manual,First,5,11.81 Lakh,10.5,2,1396
70,Porsche,Cayenne,Mumbai,2008,73000,500,8.5,Petrol,Automatic,First,5,,14.5,12,4806
71,Mahindra,XUV500,Mumbai,2015,55729,140,15.1,Diesel,Manual,First,7,,9.65,5,2179
72,Hyundai,i10,Kochi,2012,45178,78.9,16.95,Petrol,Automatic,First,5,,3.48,8,1197
73,Nissan,Terrano,Kochi,2015,56066,108.5,19.64,Diesel,Manual,First,5,16.65 Lakh,6.92,5,1461
74,Honda,Brio,Coimbatore,2016,37300,86.8,16.5,Petrol,Automatic,Second,5,,6.46,4,1198
75,Audi,A6,Delhi,2014,56000,187.74,18.53,Diesel,Automatic,Second,5,,29.5,6,1968
76,Ford,Fiesta,Jaipur,2008,111111,,17.8,Diesel,Manual,First,5,,2,12,1399
77,Toyota,Innova,Chennai,2006,230000,132,12.4,Petrol,Manual,Third,8,,4.5,14,1998
78,Toyota,Innova,Hyderabad,2012,104000,102,12.8,Diesel,Manual,First,7,,11.75,8,2494
79,Hyundai,Santro,Hyderabad,2005,87591,,0,Petrol,Manual,First,5,,1.3,15,1086
80,Maruti,Swift,Jaipur,2012,95100,74,22.9,Diesel,Manual,First,5,,3.75,8,1248
81,Tata,Zest,Pune,2017,70000,88.7,17.57,Petrol,Manual,First,5,6.67 Lakh,4.5,3,1193
82,Honda,Amaze,Kochi,2016,54944,86.7,18,Petrol,Manual,First,5,,4.82,4,1198
83,Ford,Figo,Hyderabad,2012,70337,68,20,Diesel,Manual,First,5,,2.8,8,1399
84,Maruti,Ritz,Jaipur,2013,99638,73.94,23.2,Diesel,Manual,First,5,,3.11,7,1248
85,Honda,City,Delhi,2009,52000,117.3,17.8,Petrol,Manual,First,5,,3.25,11,1497
86,BMW,5 Series,Delhi,2011,75000,218,16.73,Diesel,Automatic,Second,5,,13.9,9,1995
87,Hyundai,i10,Pune,2009,95980,78.9,20.36,Petrol,Manual,First,5,,2.25,11,1197
88,Hyundai,Grand i10,Bangalore,2016,16000,82,18.9,Petrol,Manual,First,5,,5.75,4,1197
89,Hyundai,Santro,Hyderabad,2007,73745,,17,Petrol,Manual,First,5,,2.1,13,1086
90,Honda,Amaze,Mumbai,2016,18949,86.7,17.8,Petrol,Manual,First,5,,5,4,1198
91,Toyota,Fortuner,Delhi,2014,107000,168.5,13,Diesel,Manual,First,7,,16.5,6,2982
92,Audi,A6,Coimbatore,2018,48367,174.33,17.68,Diesel,Automatic,First,5,,39.58,2,1968
93,Ford,Ecosport,Delhi,2013,57000,89.84,22.7,Diesel,Manual,First,5,,5.5,7,1498
94,Mahindra,XUV500,Delhi,2014,58000,140,15.1,Diesel,Manual,First,7,,8.1,6,2179
95,Honda,Amaze,Kolkata,2015,30000,98.6,25.8,Diesel,Manual,First,5,,3.5,5,1498
96,Volkswagen,Polo,Kolkata,2013,34212,73.9,22.07,Diesel,Manual,First,5,,2.79,7,1199
97,Hyundai,Verna,Ahmedabad,2010,70002,110,16.2,Diesel,Manual,First,5,,3.45,10,1493
98,Maruti,Wagon R,Bangalore,2016,62000,67.1,18.9,Petrol,Manual,First,5,,4.45,4,998
99,Volkswagen,Polo,Delhi,2010,62001,103.5,15.26,Petrol,Manual,First,5,,2.65,10,1598
100,Hyundai,i20,Pune,2011,78958,90,23,Diesel,Manual,Second,5,,3.8,9,1396
101,Hyundai,i20,Mumbai,2014,30180,82.85,18.5,Petrol,Manual,First,5,,4.65,6,1197
102,Datsun,GO,Pune,2017,32851,67,19.83,Petrol,Manual,First,7,6.45 Lakh,3.95,3,1198
103,Audi,A4,Kolkata,2010,30000,241.4,14.94,Diesel,Automatic,First,5,,9.8,10,2967
104,Hyundai,i20,Pune,2009,66000,80,17,Petrol,Manual,Second,5,,2.7,11,1197
105,Maruti,Omni,Coimbatore,2010,93850,35,14,Petrol,Manual,First,5,,2.41,10,796
106,Toyota,Etios,Ahmedabad,2014,53000,78.9,17.71,Petrol,Manual,First,5,6.41 Lakh,3.9,6,1197
107,Jaguar,XF,Hyderabad,2011,78000,270.9,14.74,Diesel,Automatic,Second,5,,24,9,2993
108,Mahindra,XUV500,Delhi,2012,65000,140,16,Diesel,Manual,Second,7,,5.75,8,2179
109,Hyundai,Verna,Kolkata,2014,40000,126.32,22.32,Diesel,Automatic,First,5,,5.25,6,1582
110,Toyota,Innova,Mumbai,2017,30000,171.5,11.36,Diesel,Automatic,First,7,27 Lakh,19.25,3,2755
111,Maruti,Eeco,Coimbatore,2017,38053,73,15.1,Petrol,Manual,First,5,5.13 Lakh,3.91,3,1196
112,Tata,Nano,Bangalore,2014,25500,37.5,25.4,Petrol,Manual,First,4,,2.15,6,624
113,BMW,3 Series,Mumbai,2015,56087,190,22.69,Diesel,Automatic,First,5,54.43 Lakh,20.75,5,1995
114,Honda,Civic,Delhi,2010,71088,130,13.5,Petrol,Manual,First,5,,3.35,10,1799
115,Toyota,Innova,Ahmedabad,2014,55000,100.6,12.99,Diesel,Manual,First,7,,11.11,6,2494
116,Volvo,V40,Bangalore,2014,32700,150,23.3,Diesel,Automatic,First,5,,20,6,1984
117,Nissan,Micra,Coimbatore,2016,39882,75.94,19.15,Petrol,Automatic,First,5,9.51 Lakh,6.55,4,1198
118,BMW,5 Series,Mumbai,2009,128000,215,10.8,Petrol,Automatic,First,5,,7,11,2497
119,Maruti,Vitara,Mumbai,2016,55000,88.5,24.3,Diesel,Manual,First,5,9.96 Lakh,7.5,4,1248
120,Hyundai,Santro,Mumbai,2005,102000,,17,Petrol,Manual,Second,5,,0.85,15,1086
121,Mercedes-Benz,B Class,Pune,2014,53753,107.3,15,Diesel,Automatic,Second,5,,16.75,6,2143
122,Hyundai,Verna,Kolkata,2018,10250,126.2,22,Diesel,Manual,First,5,14.44 Lakh,10.95,2,1582
123,Maruti,Wagon R,Pune,2011,43874,67.1,18.9,Petrol,Manual,First,5,,2.45,9,998
124,Tata,Nano,Coimbatore,2017,32684,37.48,21.9,Petrol,Automatic,First,4,,3.23,3,624
125,Mahindra,Scorpio,Kolkata,2014,42000,120,12.05,Diesel,Manual,First,8,,7.75,6,2179
126,Mercedes-Benz,New C-Class,Kolkata,2009,28352,178,11.7,Petrol,Automatic,First,5,,9.35,11,1796
127,Maruti,Wagon R,Pune,2013,89900,58.16,26.6,CNG,Manual,First,5,,3.25,7,998
128,Honda,CR-V,Bangalore,2007,47700,152,10.8,Petrol,Manual,Second,5,,5.25,13,2354
129,Volkswagen,Vento,Pune,2015,55000,103.2,21.21,Diesel,Automatic,First,5,,7.25,5,1498
130,Maruti,Ciaz,Kochi,2017,44285,91.1,20.73,Petrol,Manual,First,5,,7.47,3,1373
131,Mahindra,XUV500,Jaipur,2016,54000,140,16,Diesel,Automatic,First,7,,13.25,4,2179
132,Maruti,Ritz,Coimbatore,2016,30232,85.8,21.1,Petrol,Manual,First,5,,5.81,4,1197
133,Maruti,Alto,Hyderabad,2014,88500,67.1,24.07,Petrol,Manual,First,5,4.53 Lakh,2.6,6,998
134,Mercedes-Benz,SLC,Kolkata,2017,13372,362.07,19,Petrol,Automatic,First,2,95.04 Lakh,54,3,2996
135,Hyundai,Verna,Kochi,2019,12645,121.3,17,Petrol,Automatic,First,5,13.49 Lakh,11.5,1,1591
136,Maruti,Alto,Chennai,2010,94385,46.3,19.7,Petrol,Manual,Second,5,,1.6,10,796
137,BMW,1 Series 118d,Coimbatore,2015,31821,143,20.58,Diesel,Automatic,First,5,,17.22,5,1995
138,Honda,Jazz,Mumbai,2015,12000,88.7,19,Petrol,Automatic,First,5,,6,5,1199
139,Honda,Civic,Delhi,2012,88578,130,13.5,Petrol,Manual,First,5,,3.95,8,1799
140,Mercedes-Benz,New C-Class,Kochi,2014,44965,170,19.27,Diesel,Automatic,First,5,,17.95,6,2143
141,Honda,Amaze,Kolkata,2014,45044,98.6,25.8,Diesel,Manual,First,5,,3.7,6,1498
142,Maruti,Swift,Kochi,2016,34204,81.8,22,Petrol,Manual,First,5,,5.43,4,1197
143,Hyundai,Santro,Kochi,2008,80759,,17,Petrol,Manual,Third,5,,1.67,12,1086
144,Toyota,Fortuner,Coimbatore,2012,91235,171,11.5,Diesel,Manual,First,7,,13.49,8,2982
145,Chevrolet,Beat,Pune,2014,38800,76.8,18.6,Petrol,Manual,First,5,,2.85,6,1199
146,Skoda,Rapid,Chennai,2013,83000,103.52,21.14,Diesel,Manual,First,5,,4.75,7,1498
147,Maruti,Ciaz,Kochi,2018,41283,91.1,20.73,Petrol,Manual,First,5,,9.9,2,1373
148,Audi,RS5,Mumbai,2013,23000,444,11.05,Petrol,Automatic,First,4,1.28 Cr,37,7,2894
149,BMW,3 Series,Mumbai,2014,48000,190,21.76,Diesel,Automatic,First,5,60.88 Lakh,26.5,6,1995
150,Audi,A4,Coimbatore,2015,48214,174.33,17.11,Diesel,Automatic,First,5,,23.32,5,1968
151,Maruti,Swift,Chennai,2016,35000,74,22.9,Diesel,Manual,First,5,,6.25,4,1248
152,Mercedes-Benz,S Class,Kolkata,2010,35277,362.9,7.81,Petrol,Automatic,First,5,,30,10,5461
153,Skoda,Rapid,Coimbatore,2016,54620,103.52,21.66,Diesel,Automatic,First,5,,9.86,4,1498
154,Skoda,Superb,Pune,2012,136997,138.1,17.2,Diesel,Automatic,First,5,,8.5,8,1968
155,Hyundai,EON,Kochi,2019,14322,55.2,21.1,Petrol,Manual,First,5,,4.23,1,814
156,Volkswagen,Polo,Jaipur,2012,65634,73.9,22.07,Diesel,Manual,First,5,,3.5,8,1199
157,Datsun,GO,Kolkata,2016,6000,67.06,20.63,Petrol,Manual,First,5,,2.5,4,1198
158,Honda,Brio,Kolkata,2013,33280,86.8,19.4,Petrol,Manual,First,5,,2.39,7,1198
159,Mercedes-Benz,B Class,Delhi,2013,29000,120.7,14.8,Petrol,Automatic,First,5,,11.25,7,1595
160,Honda,City,Kochi,2015,42831,98.6,26,Diesel,Manual,First,5,,7.11,5,1498
161,Toyota,Innova,Ahmedabad,2016,90000,100.6,12.99,Diesel,Manual,First,7,,10.9,4,2494
162,Maruti,Swift,Ahmedabad,2017,24005,81.8,20.4,Petrol,Manual,First,5,,6.2,3,1197
163,Mahindra,XUV500,Mumbai,2012,32792,140,15.1,Diesel,Manual,First,7,,7.9,8,2179
164,Ford,Ecosport,Kochi,2014,147898,89.84,22.7,Diesel,Manual,First,5,,4.42,6,1498
165,Toyota,Fortuner,Mumbai,2012,131765,168.5,13,Diesel,Manual,First,7,,13.5,8,2982
166,Volkswagen,Vento,Chennai,2013,65000,108.5,21.5,Diesel,Automatic,First,5,,6.25,7,1498
167,Ford,Figo,Jaipur,2010,66123,68,20,Diesel,Manual,Second,5,,2.1,10,1399
168,BMW,X5,Mumbai,2015,41000,258,15.3,Diesel,Automatic,First,5,,45,5,2993
169,Mercedes-Benz,New C-Class,Coimbatore,2017,23550,167.62,19.27,Diesel,Automatic,First,5,,33.66,3,2143
170,Honda,Brio,Bangalore,2012,45000,86.8,19.4,Petrol,Manual,Second,5,,3.65,8,1198
171,Hyundai,i10,Delhi,2013,60000,78.9,20.36,Petrol,Manual,First,5,,2.75,7,1197
172,Mercedes-Benz,GLC,Bangalore,2016,44414,170,17.9,Diesel,Automatic,First,5,,42.5,4,2143
173,Hyundai,Grand i10,Kolkata,2019,1000,81.86,18.9,Petrol,Manual,First,5,7.39 Lakh,6.5,1,1197
174,Audi,A6,Mumbai,2012,62500,174.33,17.68,Diesel,Automatic,Second,5,,19,8,1968
175,Volkswagen,Vento,Mumbai,2013,21000,103.6,14.4,Petrol,Automatic,Second,5,,4.45,7,1598
176,Mini,Countryman,Jaipur,2017,8525,112,16.6,Diesel,Automatic,Second,5,,23,3,1998
177,Hyundai,i20,Bangalore,2014,29000,88.73,22.54,Diesel,Manual,First,5,,8.35,6,1396
178,Audi,A6,Mumbai,2014,40000,174.33,17.68,Diesel,Automatic,First,5,,22.95,6,1968
179,Chevrolet,Beat,Jaipur,2012,88000,57.6,25.44,Diesel,Manual,First,5,,1.5,8,936
180,Skoda,Superb,Kochi,2012,53537,157.75,13.7,Petrol,Automatic,First,5,,6.89,8,1798
181,Ford,Fiesta,Chennai,2006,216000,68,17.8,Diesel,Manual,Second,5,,1.45,14,1399
182,BMW,5 Series,Hyderabad,2014,51000,190,22.48,Diesel,Automatic,First,5,69.47 Lakh,33.5,6,1995
183,Chevrolet,Optra,Jaipur,2007,118500,102.5,12.9,Petrol,Manual,First,5,,1.25,13,1598
184,Volkswagen,Polo,Hyderabad,2012,63000,73.9,22.07,Diesel,Manual,First,5,,4.2,8,1199
185,Renault,Lodgy,Mumbai,2015,25000,108.5,19.98,Diesel,Manual,First,8,,6.75,5,1461
186,Mercedes-Benz,E-Class,Bangalore,2014,37382,201.1,13,Diesel,Automatic,First,5,,32,6,2143
187,Maruti,Baleno,Kochi,2017,24773,83.1,21.4,Petrol,Manual,First,5,8.78 Lakh,7.5,3,1197
188,Hyundai,Verna,Delhi,2012,62000,126.32,22.32,Diesel,Manual,First,5,,4.6,8,1582
189,Hyundai,i10,Kochi,2017,52340,68.05,19.81,Petrol,Manual,First,5,,4.04,3,1086
190,Mahindra,Scorpio,Kochi,2016,56739,120,15.4,Diesel,Manual,First,7,,10.31,4,1997
191,Land,Rover,Coimbatore,2018,36091,187.7,12.7,Diesel,Automatic,First,5,,55.76,2,2179
192,Ford,Figo,Chennai,2010,120000,68,20,Diesel,Manual,First,5,,2.6,10,1399
193,Maruti,Ertiga,Mumbai,2016,33000,88.5,25.47,Diesel,Manual,First,7,12.74 Lakh,8.5,4,1248
194,Honda,Amaze,Kolkata,2014,52000,,0,Diesel,Manual,First,5,,3.5,6,1498
195,Hyundai,i10,Jaipur,2015,43571,98.6,25.8,Petrol,Manual,First,5,,3.55,5,1197
196,Honda,Amaze,Kolkata,2013,50000,78.9,20.36,Diesel,Manual,First,5,,3.25,7,1498
197,Skoda,Laura,Hyderabad,2008,113000,98.6,25.8,Diesel,Manual,First,5,,4.5,12,1896
198,Renault,Duster,Delhi,2014,90000,106,17.5,Diesel,Manual,First,5,,5.35,6,1461
199,Mahindra,NuvoSport,Chennai,2017,29000,83.8,19.87,Diesel,Manual,Second,7,10.52 Lakh,6.5,3,1493
200,Maruti,Vitara,Mumbai,2016,20000,100,17.45,Diesel,Manual,First,5,11.98 Lakh,9,4,1248
201,Hyundai,i20,Kochi,2016,61012,88.5,24.3,Petrol,Manual,First,5,,6,4,1197
202,Skoda,Fabia,Jaipur,2009,87459,81.83,18.6,Petrol,Manual,First,5,,2.75,11,1390
203,Tata,Indigo,Pune,2010,70500,85,14.7,Petrol,Manual,First,5,,1.5,10,1193
204,Audi,Q3,Delhi,2015,64103,64.1,15.64,Diesel,Automatic,First,5,,19.9,5,1968
205,Skoda,Octavia,Mumbai,2014,76000,174.33,15.73,Petrol,Automatic,First,5,,10,6,1798
206,Toyota,Etios,Delhi,2014,104000,177.5,14.7,Diesel,Manual,First,5,,3,6,1364
207,Mercedes-Benz,B Class,Kochi,2014,37245,67.06,23.59,Petrol,Automatic,First,5,,11.96,6,1595
208,Honda,Amaze,Kolkata,2013,45000,,16.1,Diesel,Manual,First,5,8.54 Lakh,3.25,7,1498
209,Hyundai,Verna,Jaipur,2012,117837,120.7,14.8,Diesel,Manual,Second,5,,4.75,8,1582
210,Renault,Duster,Mumbai,2014,30000,98.6,27.4,Diesel,Manual,First,5,,5.95,6,1461
211,Hyundai,Creta,Delhi,2015,27057,126.32,22.32,Petrol,Manual,Second,5,,8.15,5,1591
212,Maruti,Wagon R,Mumbai,2016,8500,83.8,20.46,Petrol,Automatic,First,5,,4.22,4,998
213,Mercedes-Benz,New C-Class,Kolkata,2010,30500,121.3,15.29,Petrol,Automatic,First,5,,10.5,10,1796
214,Audi,A8,Delhi,2012,56000,67,20.51,Diesel,Automatic,First,5,,45,8,2967
215,Hyundai,i10,Pune,2012,44000,186,11.74,Petrol,Manual,Second,5,,2.9,8,1086
216,Skoda,Rapid,Mumbai,2017,10500,246.7,11.8,Petrol,Automatic,First,5,,8.9,3,1598
217,Skoda,Superb,Hyderabad,2017,26000,68.05,19.81,Petrol,Automatic,First,5,33.58 Lakh,26,3,1798
218,Hyundai,i20,Coimbatore,2018,25166,103.52,14.3,Petrol,Manual,First,5,,8.22,2,1197
219,Honda,Amaze,Kolkata,2014,64000,177.46,14.67,Diesel,Manual,Second,5,,3.5,6,1498
220,Maruti,Wagon R,Chennai,2004,61000,81.86,17.19,Petrol,Manual,Second,5,,1.25,16,998
221,Mahindra,Verito,Hyderabad,2013,107000,98.6,25.8,Diesel,Manual,First,5,9.12 Lakh,3.7,7,1461
222,Mercedes-Benz,New C-Class,Coimbatore,2018,29161,67.1,18.9,Diesel,Automatic,First,5,,39.41,2,2143
223,Maruti,Wagon R,Kolkata,2013,32000,65,21.03,Petrol,Manual,First,5,5.29 Lakh,2.65,7,998
224,Nissan,Terrano,Coimbatore,2015,46173,167.62,19.27,Diesel,Manual,Second,5,,8.92,5,1461
225,Maruti,Swift,Delhi,2013,47000,67.04,22.5,Diesel,Manual,First,5,,4.1,7,1248
226,Mini,Cooper,Kochi,2017,26327,108.5,19.01,Petrol,Automatic,First,4,44.28 Lakh,35.67,3,1998
227,Ford,Figo,Bangalore,2015,70436,,17.8,Diesel,Manual,First,,,3.6,5,1498
228,Tata,Indica,Jaipur,2007,200000,189.08,16.82,Diesel,Manual,Second,5,,0.85,13,1396
229,Chevrolet,Beat,Kochi,2016,60813,99,0,Petrol,Manual,Second,5,,3.32,4,1199
230,Volkswagen,Polo,Mumbai,2012,45000,53.5,17.2,Diesel,Manual,First,5,,3.6,8,1199
231,Maruti,Swift,Hyderabad,2016,64000,76.8,18.6,Diesel,Manual,First,5,,6.8,4,1248
232,Ford,Figo,Kolkata,2012,41284,73.9,22.07,Diesel,Manual,First,5,,2.5,8,1399
233,Toyota,Innova,Kochi,2019,14165,74,22.9,Diesel,Automatic,First,7,20.74 Lakh,19.64,1,2755
234,Hyundai,Santa,Mumbai,2011,67000,68.05,20,Diesel,Automatic,Second,7,,7,9,2199
235,Honda,City,Kolkata,2011,32572,171.5,11.36,Petrol,Manual,First,5,11.74 Lakh,3.87,9,1497
236,Hyundai,i20,Kochi,2018,14960,194.3,11.72,Petrol,Manual,First,5,,6.27,2,1197
237,Mercedes-Benz,New C-Class,Kochi,2015,55980,117.3,17.4,Diesel,Automatic,First,5,,18.12,5,2143
238,Chevrolet,Beat,Mumbai,2013,74000,81.83,18.6,Diesel,Manual,First,5,,2.65,7,936
239,Hyundai,i20,Kochi,2015,56847,167.62,19.27,Diesel,Manual,First,5,,7.2,5,1396
240,Toyota,Innova,Coimbatore,2015,121374,57.6,25.44,Diesel,Manual,First,7,,14.3,5,2494
241,Maruti,Ertiga,Chennai,2013,52000,88.73,22.54,Diesel,Manual,First,7,,6.9,7,1248
242,Toyota,Innova,Mumbai,2014,118000,100.6,12.99,Diesel,Manual,First,7,,10.75,6,2494
243,Hyundai,Santro,Mumbai,2007,72000,88.76,20.77,Petrol,Manual,Third,5,,0.95,13,1086
244,Honda,City,Kochi,2016,33915,102,12.8,Petrol,Manual,First,5,,8.09,4,1497
245,BMW,X1,Ahmedabad,2014,82002,,17,Diesel,Automatic,First,5,,18.5,6,1995
246,Hyundai,Grand i10,Mumbai,2017,33000,117.3,17.8,Diesel,Manual,First,5,,4.75,3,1120
247,Maruti,Ciaz,Chennai,2016,34000,184,17.05,Diesel,Manual,First,5,,8.45,4,1248
248,Skoda,Rapid,Kolkata,2012,55000,70,24,Diesel,Manual,First,5,,3.5,8,1598
249,Hyundai,Accent,Kochi,2006,160538,88.5,28.09,Diesel,Manual,First,5,,1.8,14,1493
250,Volkswagen,Polo,Jaipur,2014,60000,103.6,20.5,Diesel,Manual,Second,5,,3.7,6,1498
